[780] 36->1
[35] 36->30->59->11->2
[24] 36->49->87->3
[41] 36->96->4
[56] 36->30->59->11->84->5
[61] 36->49->86->40->64->45->6
[40] 36->30->24->69->7
[56] 36->30->59->11->84->93->94->8
[45] 36->30->24->31->9
[36] 36->49->87->3->10
[31] 36->30->59->11
[29] 36->49->87->12
[55] 36->30->35->90->13
[48] 36->30->59->78->20->14
[65] 36->49->86->40->64->45->6->15
[43] 36->30->35->90->16
[53] 36->49->87->12->17
[43] 36->30->24->18
[32] 36->49->87->19
[46] 36->30->59->78->20
[68] 36->49->87->66->65->70->21
[46] 36->30->22
[45] 36->49->87->66->65->23
[27] 36->30->24
[58] 36->49->86->40->25
[54] 36->30->35->100->26
[43] 36->96->38->27
[51] 36->30->59->92->28
[36] 36->30->59->92->29
[19] 36->30
[39] 36->30->24->31
[65] 36->49->87->32
[61] 36->30->22->33
[54] 36->49->87->19->34
[24] 36->30->35
[0] 36
[53] 36->30->59->11->37
[39] 36->96->38
[49] 36->49->87->66->65->70->39
[46] 36->49->86->40
[38] 36->49->87->66->41
[56] 36->49->87->66->67->42
[70] 36->30->35->90->52->43
[38] 36->49->86->44
[55] 36->49->86->40->64->45
[46] 36->30->35->85->46
[61] 36->49->87->19->34->47
[58] 36->49->48
[18] 36->49
[68] 36->30->35->90->16->50
[70] 36->30->35->51
[45] 36->30->35->90->52
[46] 36->49->53
[49] 36->96->38->27->54
[47] 36->30->24->31->9->55
[41] 36->49->87->19->56
[48] 36->49->86->44->57
[45] 36->30->24->31->58
[27] 36->30->59
[36] 36->49->87->3->60
[62] 36->30->59->92->28->61
[61] 36->30->35->100->26->62
[60] 36->49->87->66->65->70->39->63
[47] 36->49->86->40->64
[37] 36->49->87->66->65
[24] 36->49->87->66
[38] 36->49->87->66->67
[53] 36->30->59->11->84->68
[34] 36->30->24->69
[48] 36->49->87->66->65->70
[51] 36->30->59->11->84->74->71
[67] 36->30->59->11->2->72
[63] 36->30->59->78->20->73
[45] 36->30->59->11->84->74
[70] 36->30->59->78->20->75
[45] 36->30->35->90->16->76
[58] 36->30->35->100->82->77
[42] 36->30->59->78
[59] 36->30->59->11->84->74->71->79
[47] 36->30->24->31->58->80
[73] 36->30->59->78->20->14->81
[52] 36->30->35->100->82
[44] 36->30->59->11->84->93->83
[40] 36->30->59->11->84
[44] 36->30->35->85
[35] 36->49->86
[19] 36->49->87
[62] 36->49->86->44->88
[66] 36->30->35->100->82->77->98->89
[37] 36->30->35->90
[36] 36->49->87->91
[34] 36->30->59->92
[43] 36->30->59->11->84->93
[48] 36->30->59->11->84->93->94
[70] 36->30->22->33->95
[30] 36->96
[48] 36->30->59->11->84->97
[60] 36->30->35->100->82->77->98
[64] 36->30->59->99
[45] 36->30->35->100
